,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Rateio_Sena
1641,1500.0,57.0,43.0,18.0,59.0,10.0,31.0,1.0,22610179.37
1642,1501.0,13.0,37.0,54.0,7.0,29.0,1.0,1.0,3144718.24
1649,1508.0,58.0,39.0,18.0,17.0,35.0,30.0,2.0,21168975.92
1652,1510.0,1.0,8.0,44.0,17.0,46.0,53.0,1.0,22933056.04
1656,1514.0,23.0,16.0,17.0,59.0,42.0,60.0,1.0,14061405.08
1657,1515.0,59.0,49.0,13.0,18.0,4.0,14.0,1.0,15200594.63
1658,1516.0,34.0,60.0,18.0,45.0,4.0,20.0,1.0,2581185.45
1663,1521.0,18.0,30.0,14.0,11.0,33.0,39.0,1.0,25313774.0
1668,1526.0,51.0,47.0,28.0,10.0,59.0,16.0,1.0,31746274.15
1671,1529.0,35.0,17.0,15.0,34.0,49.0,11.0,1.0,8144582.4
1672,1530.0,53.0,10.0,28.0,16.0,48.0,33.0,2.0,7800140.92
1675,1532.0,42.0,2.0,11.0,23.0,31.0,44.0,3.0,1934416.36
1679,1534.0,28.0,12.0,34.0,29.0,1.0,48.0,1.0,5734618.57
1682,1537.0,6.0,56.0,33.0,50.0,51.0,10.0,1.0,23232379.04
1683,1538.0,35.0,52.0,27.0,53.0,57.0,23.0,1.0,2163459.28
1690,1545.0,6.0,48.0,11.0,45.0,4.0,24.0,1.0,80499108.16
1692,1547.0,28.0,21.0,9.0,10.0,2.0,18.0,1.0,6867422.89
1694,1549.0,32.0,53.0,16.0,20.0,12.0,10.0,1.0,5772796.8
1695,1550.0,21.0,56.0,36.0,9.0,13.0,27.0,1.0,23634735.21
1696,1551.0,2.0,23.0,38.0,15.0,21.0,19.0,1.0,2820316.51
1704,1559.0,37.0,58.0,12.0,29.0,8.0,16.0,1.0,51491466.0
1705,1560.0,30.0,47.0,53.0,38.0,20.0,36.0,4.0,56169465.02
1711,1563.0,43.0,36.0,1.0,20.0,13.0,6.0,1.0,6872625.83
1712,1564.0,54.0,44.0,38.0,25.0,46.0,53.0,1.0,3219906.28
1714,1566.0,11.0,32.0,60.0,5.0,6.0,36.0,1.0,14791263.61
1723,1575.0,1.0,5.0,4.0,45.0,14.0,56.0,1.0,111503902.49
1725,1577.0,25.0,32.0,11.0,59.0,51.0,14.0,1.0,7599721.82
1728,1580.0,1.0,6.0,14.0,17.0,33.0,36.0,2.0,16776243.36
1731,1582.0,4.0,17.0,1.0,48.0,13.0,38.0,1.0,7343875.35
1737,1588.0,36.0,29.0,23.0,49.0,32.0,45.0,2.0,25541942.1
1741,1591.0,4.0,23.0,55.0,10.0,38.0,33.0,1.0,37626306.9
1743,1593.0,4.0,17.0,38.0,9.0,18.0,21.0,1.0,5259292.04
1745,1595.0,59.0,5.0,42.0,8.0,46.0,2.0,2.0,10975751.52
1747,1596.0,5.0,12.0,1.0,7.0,45.0,10.0,1.0,2826993.1
1750,1599.0,35.0,10.0,15.0,58.0,36.0,3.0,1.0,11882469.39
1751,1600.0,9.0,46.0,23.0,32.0,35.0,57.0,1.0,17751928.34
1753,1602.0,8.0,44.0,40.0,35.0,22.0,12.0,1.0,7222388.9
1757,1606.0,54.0,1.0,15.0,37.0,46.0,42.0,1.0,31599293.88
1763,1612.0,17.0,51.0,36.0,6.0,42.0,13.0,2.0,21337822.84
1766,1614.0,49.0,27.0,43.0,17.0,14.0,21.0,1.0,6912438.29
1769,1617.0,23.0,31.0,47.0,54.0,3.0,26.0,2.0,16075904.16
1771,1618.0,9.0,51.0,20.0,24.0,52.0,43.0,1.0,3400793.67
1774,1621.0,24.0,22.0,38.0,49.0,10.0,39.0,1.0,29279523.38
1780,1627.0,26.0,57.0,20.0,32.0,45.0,41.0,1.0,44340626.24
1785,1632.0,18.0,56.0,27.0,6.0,24.0,59.0,1.0,46770615.69
1787,1634.0,44.0,9.0,33.0,10.0,23.0,51.0,1.0,7065301.82
1792,1639.0,35.0,51.0,34.0,49.0,16.0,29.0,2.0,28473749.18
1794,1640.0,6.0,18.0,46.0,23.0,31.0,2.0,2.0,15134013.55
1802,1647.0,38.0,54.0,23.0,12.0,17.0,53.0,1.0,61050152.43
1810,1655.0,56.0,46.0,7.0,24.0,28.0,53.0,2.0,67657559.48
1813,1657.0,10.0,54.0,37.0,45.0,14.0,7.0,1.0,8336476.39
1814,1658.0,7.0,40.0,19.0,49.0,11.0,23.0,1.0,3748248.31
1816,1660.0,17.0,38.0,42.0,51.0,34.0,8.0,1.0,33639041.43
1818,1662.0,57.0,10.0,25.0,14.0,33.0,29.0,2.0,4077429.91
1821,1664.0,48.0,8.0,21.0,36.0,23.0,29.0,1.0,7993708.78
1822,1665.0,20.0,11.0,16.0,1.0,56.0,5.0,4.0,65823888.16
1827,1667.0,51.0,24.0,56.0,7.0,12.0,44.0,1.0,5862774.49
1832,1672.0,20.0,10.0,1.0,5.0,42.0,3.0,1.0,33471002.88
1835,1675.0,36.0,3.0,35.0,56.0,18.0,34.0,1.0,29353109.38
1837,1677.0,52.0,33.0,15.0,28.0,51.0,10.0,2.0,3678088.24
1840,1679.0,28.0,2.0,1.0,46.0,27.0,47.0,1.0,5548048.14
1841,1680.0,37.0,46.0,47.0,51.0,23.0,38.0,1.0,16547485.01
1842,1681.0,1.0,33.0,8.0,11.0,6.0,50.0,1.0,3031830.86
1844,1683.0,48.0,4.0,12.0,34.0,32.0,33.0,1.0,7199799.02
1847,1686.0,44.0,37.0,9.0,55.0,14.0,46.0,3.0,8927028.65
1850,1687.0,15.0,58.0,24.0,37.0,46.0,49.0,1.0,3174732.56
1852,1689.0,41.0,2.0,53.0,5.0,13.0,27.0,2.0,3610233.13
1858,1694.0,34.0,29.0,20.0,37.0,57.0,45.0,1.0,46904093.93
1860,1696.0,12.0,1.0,31.0,37.0,17.0,46.0,1.0,32909935.88
1864,1700.0,58.0,41.0,48.0,50.0,15.0,18.0,1.0,31494038.01
1865,1701.0,9.0,3.0,18.0,40.0,32.0,56.0,1.0,2018423.55
1866,1702.0,39.0,52.0,17.0,35.0,19.0,33.0,1.0,2757367.25
1870,1706.0,12.0,31.0,34.0,48.0,36.0,56.0,1.0,29938493.6
1877,1713.0,3.0,29.0,10.0,16.0,23.0,27.0,2.0,31598692.07
1881,1716.0,25.0,36.0,2.0,53.0,42.0,41.0,1.0,40781877.95
1886,1721.0,12.0,33.0,4.0,38.0,36.0,19.0,1.0,36404331.56
1892,1727.0,4.0,6.0,41.0,40.0,19.0,20.0,1.0,46391009.23
1895,1730.0,1.0,24.0,10.0,17.0,42.0,51.0,2.0,13940874.15
1898,1732.0,25.0,60.0,34.0,53.0,45.0,38.0,1.0,7041557.17
1899,1733.0,5.0,9.0,41.0,14.0,3.0,46.0,1.0,3330428.53
1904,1738.0,53.0,46.0,28.0,48.0,37.0,12.0,1.0,38615395.78
1907,1741.0,49.0,18.0,20.0,32.0,15.0,48.0,1.0,31114779.74
1913,1747.0,53.0,34.0,59.0,33.0,48.0,6.0,2.0,23221167.26
1920,1753.0,54.0,8.0,45.0,29.0,35.0,15.0,1.0,47335685.52
1931,1764.0,6.0,7.0,41.0,39.0,29.0,55.0,1.0,205329753.89
1939,1772.0,27.0,39.0,19.0,41.0,12.0,45.0,2.0,98688974.76
1943,1775.0,31.0,2.0,51.0,42.0,18.0,56.0,6.0,41088919.05
1954,1781.0,22.0,8.0,52.0,1.0,53.0,49.0,2.0,12626122.54
1961,1787.0,1.0,29.0,13.0,25.0,5.0,26.0,2.0,17008680.52
1968,1793.0,56.0,13.0,22.0,54.0,14.0,58.0,1.0,35196529.96
1969,1794.0,1.0,5.0,37.0,60.0,34.0,40.0,1.0,2942618.04
1971,1796.0,54.0,22.0,48.0,34.0,23.0,53.0,1.0,23818040.93
1975,1800.0,31.0,56.0,16.0,6.0,11.0,19.0,1.0,22054205.88
1985,1810.0,56.0,10.0,43.0,50.0,1.0,25.0,1.0,92303225.84
1990,1815.0,60.0,8.0,25.0,39.0,41.0,11.0,3.0,10829320.16
1998,1821.0,53.0,31.0,19.0,52.0,36.0,22.0,2.0,19896531.79
2003,1825.0,21.0,54.0,10.0,50.0,51.0,11.0,1.0,27333858.49
2008,1830.0,29.0,3.0,54.0,7.0,37.0,60.0,1.0,27488182.36
2009,1831.0,55.0,15.0,48.0,32.0,28.0,27.0,1.0,2615804.34
2012,1834.0,2.0,22.0,51.0,24.0,48.0,17.0,1.0,9144980.42
2016,1838.0,59.0,24.0,30.0,8.0,57.0,5.0,1.0,25207139.21
2020,1842.0,18.0,43.0,22.0,24.0,16.0,34.0,1.0,27801637.78
2021,1843.0,28.0,26.0,33.0,41.0,8.0,54.0,1.0,2685394.05
2028,1850.0,24.0,32.0,23.0,40.0,41.0,38.0,1.0,58632725.66
2031,1853.0,2.0,41.0,39.0,1.0,34.0,45.0,1.0,9543014.95
2038,1860.0,10.0,40.0,30.0,44.0,36.0,60.0,1.0,57628178.83
2040,1862.0,8.0,49.0,35.0,42.0,56.0,2.0,2.0,2915182.12
2050,1871.0,17.0,58.0,33.0,52.0,11.0,3.0,1.0,76548193.31
2054,1875.0,53.0,45.0,47.0,1.0,52.0,55.0,1.0,29697112.87
2058,1879.0,20.0,58.0,10.0,59.0,57.0,5.0,1.0,12957556.93
2060,1881.0,30.0,10.0,53.0,44.0,3.0,56.0,1.0,18918141.78
2067,1888.0,48.0,1.0,18.0,45.0,17.0,10.0,2.0,20091578.77
2070,1890.0,5.0,24.0,51.0,22.0,11.0,53.0,6.0,36824758.22
2081,1896.0,25.0,6.0,14.0,21.0,3.0,15.0,1.0,28783383.17
2087,1902.0,25.0,18.0,2.0,21.0,9.0,7.0,3.0,11813566.31
2097,1910.0,9.0,6.0,39.0,15.0,22.0,48.0,1.0,59741202.88
2099,1912.0,42.0,10.0,33.0,36.0,13.0,35.0,1.0,5848882.96
2101,1914.0,39.0,33.0,29.0,16.0,44.0,42.0,1.0,5805678.69
2111,1924.0,16.0,52.0,53.0,58.0,30.0,12.0,1.0,101484527.44
2113,1926.0,46.0,3.0,2.0,30.0,14.0,20.0,1.0,41318205.91
2114,1927.0,11.0,5.0,30.0,31.0,13.0,19.0,1.0,3343108.9
2122,1935.0,24.0,17.0,10.0,1.0,3.0,23.0,3.0,20928347.7
2126,1937.0,10.0,29.0,24.0,43.0,6.0,55.0,1.0,6310224.41
2130,1941.0,38.0,1.0,9.0,48.0,49.0,24.0,1.0,26572503.56
2142,1953.0,45.0,29.0,42.0,9.0,43.0,26.0,1.0,107956102.12
2146,1957.0,23.0,47.0,29.0,2.0,14.0,22.0,1.0,51557331.87
2154,1965.0,28.0,26.0,55.0,38.0,48.0,35.0,1.0,78022245.31
2163,1974.0,19.0,57.0,38.0,54.0,4.0,27.0,1.0,54268048.74
2164,1975.0,8.0,24.0,47.0,26.0,11.0,57.0,1.0,22575348.57
2166,1977.0,28.0,3.0,32.0,34.0,37.0,16.0,1.0,5889546.54
2168,1979.0,38.0,23.0,45.0,32.0,29.0,22.0,1.0,3951513.94
2171,1982.0,46.0,24.0,20.0,4.0,50.0,14.0,1.0,20777195.15
2172,1983.0,14.0,22.0,6.0,5.0,10.0,36.0,1.0,2598401.89
2181,1992.0,21.0,11.0,13.0,53.0,54.0,5.0,2.0,32953918.65
2190,2000.0,6.0,37.0,34.0,10.0,3.0,17.0,17.0,18042279.04
2210,2004.0,45.0,35.0,1.0,23.0,5.0,14.0,3.0,4095573.45
2223,2015.0,18.0,58.0,32.0,39.0,27.0,17.0,1.0,104545829.37
2231,2023.0,23.0,56.0,8.0,7.0,1.0,6.0,2.0,29864355.95
2237,2028.0,7.0,42.0,58.0,36.0,24.0,11.0,4.0,10251126.97
2242,2030.0,38.0,4.0,58.0,40.0,27.0,59.0,1.0,22122662.6
2245,2033.0,40.0,10.0,18.0,33.0,38.0,43.0,1.0,9349630.55
2246,2034.0,7.0,56.0,22.0,13.0,6.0,17.0,1.0,2777651.27
2253,2041.0,10.0,12.0,54.0,42.0,22.0,25.0,1.0,58932070.38
2257,2045.0,27.0,46.0,15.0,25.0,50.0,45.0,1.0,29066470.84
2264,2052.0,57.0,50.0,56.0,51.0,58.0,59.0,4.0,9627559.21
2277,2062.0,8.0,15.0,34.0,25.0,10.0,23.0,1.0,73450153.75
2281,2066.0,27.0,55.0,35.0,6.0,25.0,45.0,1.0,35155103.28
2289,2074.0,42.0,8.0,18.0,37.0,58.0,23.0,2.0,22327541.33
2293,2077.0,37.0,13.0,16.0,26.0,39.0,35.0,1.0,27758694.68
2297,2081.0,40.0,42.0,13.0,18.0,35.0,41.0,1.0,21763750.54
2298,2082.0,25.0,33.0,42.0,49.0,6.0,48.0,1.0,2420701.1
2303,2087.0,19.0,18.0,53.0,34.0,2.0,23.0,1.0,27364769.44
2304,2088.0,24.0,3.0,27.0,38.0,14.0,56.0,1.0,2526635.0
2307,2091.0,12.0,11.0,10.0,59.0,38.0,37.0,1.0,20024894.84
2316,2100.0,1.0,35.0,13.0,11.0,10.0,49.0,1.0,69186484.11
2326,2110.0,25.0,33.0,10.0,12.0,18.0,5.0,52.0,5818007.36
2385,2118.0,41.0,11.0,12.0,46.0,20.0,40.0,1.0,37902607.11
2388,2121.0,37.0,8.0,17.0,29.0,10.0,40.0,1.0,24666686.76
2398,2131.0,28.0,18.0,20.0,6.0,2.0,3.0,1.0,78938208.62
2402,2135.0,23.0,48.0,59.0,28.0,40.0,9.0,1.0,32689083.52
2417,2150.0,38.0,24.0,23.0,26.0,42.0,49.0,1.0,289420865.0
2420,2153.0,13.0,28.0,31.0,8.0,33.0,32.0,1.0,11825289.36
2428,2161.0,24.0,10.0,8.0,44.0,9.0,42.0,1.0,124209628.25
2432,2165.0,56.0,49.0,54.0,43.0,5.0,37.0,1.0,35218398.02
2435,2168.0,37.0,25.0,29.0,4.0,1.0,27.0,1.0,8177021.67
2438,2171.0,19.0,12.0,13.0,36.0,55.0,44.0,1.0,21978571.91
