Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena
2074.0,42.0,8.0,18.0,37.0,58.0,23.0
2077.0,37.0,13.0,16.0,26.0,39.0,35.0
2081.0,40.0,42.0,13.0,18.0,35.0,41.0
2082.0,25.0,33.0,42.0,49.0,6.0,48.0
2087.0,19.0,18.0,53.0,34.0,2.0,23.0
2088.0,24.0,3.0,27.0,38.0,14.0,56.0
2091.0,12.0,11.0,10.0,59.0,38.0,37.0
2100.0,1.0,35.0,13.0,11.0,10.0,49.0
2110.0,25.0,33.0,10.0,12.0,18.0,5.0
2118.0,41.0,11.0,12.0,46.0,20.0,40.0
2121.0,37.0,8.0,17.0,29.0,10.0,40.0
2131.0,28.0,18.0,20.0,6.0,2.0,3.0
2135.0,23.0,48.0,59.0,28.0,40.0,9.0
2150.0,38.0,24.0,23.0,26.0,42.0,49.0
2153.0,13.0,28.0,31.0,8.0,33.0,32.0
2161.0,24.0,10.0,8.0,44.0,9.0,42.0
2165.0,56.0,49.0,54.0,43.0,5.0,37.0
2168.0,37.0,25.0,29.0,4.0,1.0,27.0
2171.0,19.0,12.0,13.0,36.0,55.0,44.0
